case,hour,category,count,denominator,fraction
SZ_Air,69,replace_rule,1,3,0.3333333333333333
SZ_Air,69,remove_rule,0,3,0.0
SZ_Air,69,move_rule,0,3,0.0
SZ_Air,69,explicit_no_change,2,3,0.6666666666666666
SZ_Air,69,deterministic_rejection,0,3,0.0
SZ_Air,69,schema_fallback,0,3,0.0
SZ_Air,70,set_param,0,3,0.0
SZ_Air,70,add_rule,0,3,0.0
SZ_Air,70,replace_rule,0,3,0.0
SZ_Air,70,remove_rule,0,3,0.0
SZ_Air,70,move_rule,0,3,0.0
SZ_Air,70,explicit_no_change,3,3,1.0
SZ_Air,70,deterministic_rejection,0,3,0.0
SZ_Air,70,schema_fallback,0,3,0.0
SZ_Air,71,set_param,0,3,0.0
SZ_Air,71,add_rule,0,3,0.0
SZ_Air,71,replace_rule,0,3,0.0
SZ_Air,71,remove_rule,0,3,0.0
SZ_Air,71,move_rule,0,3,0.0
SZ_Air,71,explicit_no_change,3,3,1.0
SZ_Air,71,deterministic_rejection,0,3,0.0
SZ_Air,71,schema_fallback,0,3,0.0
SZ_Air,72,set_param,0,3,0.0
SZ_Air,72,add_rule,0,3,0.0
SZ_Air,72,replace_rule,0,3,0.0
SZ_Air,72,remove_rule,0,3,0.0
SZ_Air,72,move_rule,0,3,0.0
SZ_Air,72,explicit_no_change,3,3,1.0
SZ_Air,72,deterministic_rejection,0,3,0.0
SZ_Air,72,schema_fallback,0,3,0.0
SZ_Air,73,set_param,0,3,0.0
SZ_Air,73,add_rule,0,3,0.0
SZ_Air,73,replace_rule,0,3,0.0
SZ_Air,73,remove_rule,0,3,0.0
SZ_Air,73,move_rule,0,3,0.0
